cluster,id
13,718032
83,776503
20,10314
71,446893
58,10147
6,82520
22,599975
65,619730
6,1523
93,18126
55,14164
23,11806
2,384682
79,13051
0,1360
34,9913
21,222936
160,6282
128,184346
5,48231
72,23082
97,8292
13,4032
20,25195
122,59678
68,339967
13,12573
20,2642
85,12184
13,397422
9,216282
15,16866
20,81836
27,21032
22,9378
26,201088
2,8275
134,88005
6,64685
70,287903
9,458594
2,11397
4,203
66,681
32,331313
79,7461
15,431580
32,6415
39,11282
60,11969
13,10098
96,14411
26,1535
23,13680
2,8005
79,9631
119,820
14,204922
10,4836
92,29427
80,9641
53,13700
29,378
50,8461
124,41402
5,552178
14,29917
2,437557
37,826
55,9381
62,1251
42,10925
13,937278
21,802
134,371645
142,10590
18,23023
10,11615
4,10673
18,10756
2,9571
134,864
10,339692
83,243683
43,8452
97,10027
25,11852
21,212716
36,439015
50,7978
128,934433
75,375366
182,245706
22,760161
1,1691
18,11395
29,36593
36,631842
21,804
0,1788
111,12180
20,48988
66,253
26,26389
33,537116
31,8840
89,1844
110,606856
66,682
20,19899
10,500682
22,794
188,87516
9,697843
158,10159
20,4806
12,318781
43,19901
53,45772
65,37233
1,11281
0,41233
105,458305
34,335866
73,1547
35,624
13,111969
117,2207
47,8224
42,58151
10,164457
144,12096
22,351211
55,475210
160,243
20,12620
33,1677
66,707
36,463684
57,535292
14,11460
21,625450
13,24238
55,698
0,330483
104,9276
184,440161
159,390062
63,31867
4,10474
4,650
16,16995
21,614409
47,520663
66,691
63,10771
39,9285
35,245703
172,10025
66,700
26,106747
22,100241
21,13971
1,8769
188,241848
43,629176
143,796499
6,804095
28,847
21,7303
6,433498
21,455
66,646389
15,342473
82,335977
36,585216
79,41283
2,8277
33,11009
9,9759
21,9778
21,41210
37,10110
20,286554
1,82990
96,19585
4,280996
55,154
42,273477
172,5994
115,369192
22,11357
2,87428
4,1807
124,1923
66,709
20,727745
39,17610
2,239563
2,15373
65,500840
191,724495
21,370755
27,11238
63,1946
182,9040
39,9671
50,301804
143,4141
10,109091
139,1725
9,763285
36,913290
158,9618
22,579
32,10040
102,8859
42,139038
44,460885
18,35019
56,407451
166,16523
63,81796
21,76494
193,2043
2,2609
18,14442
22,420634
29,9535
72,1636
193,11679
36,241257
42,11932
111,183011
117,4824
26,47327
113,9619
189,755566
2,4543
116,13515
3,9461
30,3989
29,2069
13,264999
41,591274
66,668
22,82505
178,9946
32,9255
116,9100
87,1634
55,9341
57,382322
84,10214
2,521777
12,457136
20,11452
21,283350
2,8193
9,9319
21,401
78,5689
193,34813
55,5549
37,3683
42,23202
14,1092
96,629542
9,839
66,699
49,145135
115,402897
68,614911
9,3595
63,775996
112,429415
40,15157
41,602734
133,1911
25,9678
165,11072
25,203739
4,645886
6,109410
34,2655
40,6279
1,10014
11,700391
2,38778
9,882569
55,9620
188,9268
112,860
2,10663
126,482321
199,9326
120,1648
122,11918
71,585083
2,11635
22,416234
36,329440
59,11690
27,381719
6,10647
5,9008
13,497828
26,1051
70,244458
4,376290
90,22825
39,9896
13,147773
89,39013
119,891
21,6615
57,2112
26,265208
22,11186
2,9955
2,26123
24,213681
84,585245
4,16
40,32823
20,19265
126,10982
117,326
101,13600
35,129670
198,996
54,34647
76,19458
81,6171
0,226857
103,2289
103,11362
22,10781
166,559907
15,10898
12,71688
2,77953
13,1850
43,302156
90,3509
26,82
48,283587
43,461130
143,899112
128,18405
142,13813
2,10634
50,425972
15,15789
5,50839
24,306
20,9576
55,199
90,10559
45,395458
6,7984
87,9036
50,64720
21,291270
9,1647
66,708
125,13836
35,581032
20,11003
85,12783
135,385103
84,499701
61,223
9,10431
30,62206
105,22824
9,8963
65,28211
97,486131
20,2064
22,13510
13,2196
198,3432
26,9874
20,556678
85,11820
6,925
23,9530
58,85889
195,7270
2,445629
130,152
22,10072
15,774825
32,323675
6,8489
104,579047
2,18480
2,1588
2,7288
79,553604
9,136418
4,10220
46,4614
148,296100
180,170687
45,4566
20,16538
65,617
18,10808
63,324670
29,9072
60,12106
2,454293
12,873
5,9357
6,14359
183,9531
6,655
67,11172
4,11327
20,2018
28,1729
198,181283
15,151960
10,325789
90,242095
48,2604
20,10761
162,238215
125,475430
2,7278
119,1852
6,590
12,245168
194,407448
162,2657
0,4584
21,37786
6,10774
20,4379
12,491480
6,25793
88,283378
176,15196
131,285923
90,262543
20,6877
13,290
13,298382
156,38317
84,10588
15,258509
59,4421
8,9372
2,9718
29,2640
58,8952
54,44603
185,10735
26,55846
24,268920
5,453201
151,171372
63,9349
59,1825
181,417320
106,592
15,454640
6,205220
41,591275
23,10992
198,845
155,512
55,42684
27,9994
119,300673
9,646207
24,648579
6,9563
47,963
22,76617
124,287424
12,746
172,103332
2,11017
66,1639
68,55420
99,152747
143,7516
2,252838
159,334524
12,1883
79,80389
20,9038
26,2026
10,379
0,724089
13,511785
22,77883
4,9559
193,11371
6,716612
20,10033
6,294016
46,4349
22,11675
2,9427
6,221
170,205321
126,227973
21,9675
126,65759
4,1632
127,9281
86,9833
6,11023
29,11565
122,10679
36,2654
128,800815
91,5516
1,11351
105,10153
22,93856
111,40662
42,763
75,9348
18,642885
49,11336
1,9725
111,123025
127,483
36,61012
41,617505
198,11081
2,208134
9,60747
124,2291
40,44244
105,846
21,11013
41,11096
79,9869
12,614560
91,804150
21,6964
42,623491
12,501907
128,2662
2,9788
138,256961
99,9359
4,475
63,581726
148,585511
126,12233
12,323677
72,9722
63,9920
0,34653
23,33217
136,396806
37,9665
161,333352
99,10495
147,9012
57,254473
73,11249
40,64328
4,10778
8,656690
40,2179
2,107811
134,962
20,10327
118,55931
50,9529
13,437586
7,42949
23,9353
17,11683
26,11808
63,10796
6,403
6,74308
46,309886
14,303
159,10669
63,406761
3,634528
0,87825
30,9760
13,121986
142,454227
112,43933
65,9963
184,922
45,12201
37,289222
7,446894
22,616820
5,11660
22,167032
20,9768
191,395991
70,551804
49,8843
6,401246
22,467660
36,505058
138,7459
117,9691
2,2294
4,654
8,1430
6,112336
103,49009
6,615643
50,527261
79,8838
20,884605
66,11228
12,6844
106,2142
13,45132
22,11187
82,568620
126,10715
18,14191
65,14462
169,424781
22,663712
4,33909
16,9944
10,3112
20,11529
24,23742
6,705
137,16577
21,597219
193,9386
9,578701
13,489925
81,3035
2,8469
12,964980
58,308639
39,11153
9,8845
13,315664
98,9035
13,152737
6,395993
117,11968
26,287948
101,506574
29,10157
2,146239
119,416144
22,84348
36,521935
66,22832
1,14254
